index;unitID;name;address;city;postalCode;accomodation_type;lanFile;lonFile;searchTerm;state;street;houseNumber;lat;lng;relevance;mqCity;mqStreet;mqHouseNumber
4918;630662944;goodnight warsaw apartments krucza;Krucza 19;Warszawa;00-525;Hotels;NA;NA;Krucza 19,  Warszawa;Woj. Mazowieckie;ulica Krucza;19;52.22625;21.01822;1;1;0.9;1
4919;630497248;goodnight warsaw apartments krochmalna;Krochmalna 2;Warszawa;00-864;Hotels;NA;NA;Krochmalna 2,  Warszawa;Woj. Mazowieckie;ulica Krochmalna;2;52.23732;20.99489;1;1;0.9;1
4920;624824416;goodnight warsaw apartments aleja jana pawla ii 26;Al. Jana Pawła II 26;Warszawa;00-133;Hotels;NA;NA;Al. Jana Pawła II 26, 00-133 Warszawa;Woj. Mazowieckie;aleja Jana Pawła II;26;52.23714;20.99725;0.93;1;0.88;1
4921;624833728;goodnight warsaw apartments pl.grzybowski;pl. Grzybowski 2;Warszawa;00-109;Hotels;NA;NA;pl. Grzybowski 2, 00-109 Warszawa;Woj. Mazowieckie;plac Grzybowski;2;52.23588;21.00433;0.94;1;0.94;1
4922;1090271872;shortstaypoland zgoda b23;Zgoda 13 m. 72;Warszawa;00-012;Hotels;NA;NA;Zgoda 13 m. 72, 00-012 Warszawa;Woj. Mazowieckie;ulica Zgoda;13M;52.23345;21.01099;0.8;1;0.9;1
4923;624830848;goodnight warsaw apartments elektoralna;ul. Elektoralna 12A;Warszawa;00-139;Hotels;NA;NA;ul. Elektoralna 12A, 00-133 Warszawa;Woj. Mazowieckie;ulica Elektoralna;12A;52.24078;20.99689;0.97;1;1;1
4924;630507360;goodnight warsaw apartments przechodnia;Przechodnia 2;Warszawa;00-100;Hotels;NA;NA;Przechodnia 2,  Warszawa;Woj. Mazowieckie;ulica Przechodnia;2;52.24038;21.00307;1;1;0.9;1
4925;498420;goodnight warsaw apartment bonifraterska;Różne adresy;Warszawa;00-071;Hotels;NA;NA;Różne adresy, 00-071 Warszawa;Woj. Mazowieckie;;undefined;52.24491;21.01395;0.55;1;NA;NA
4926;692343744;mieszko ii uzdrowisko kamien pomorski;Wojska Polskiego 2;Kamień Pomorski;72-400;Hotels;NA;NA;Wojska Polskiego 2, 72-400 Kamień Pomorski;Woj. Zachodniopomorskie;ulica Wojska Polskiego;2;53.97002;14.77472;1;1;0.9;1
4927;1085778432;goodnight warsaw apartments wilcza 11;Wilcza 11;Warszawa;00-538;Hotels;NA;NA;Wilcza 11, 00-538 Warszawa;Woj. Mazowieckie;ulica Wilcza;11;52.22567;21.02011;1;1;0.9;1
