hotelName;offerId;hotelId;locality;postalCode;street;destinationName;accType;accType_Stat;NACE;lat;lon;price;starRating;guestReviewsRating;guestReviewsTotal;Period.2019.02;Period.2019.03;Period.2019.04;Period.2019.05;Period.2019.06;Period.2019.07;Period.2019.08;Period.2019.09;Period.2019.10;Period.2019.11;Period.2019.12;Period.2020.01;Period.2020.02;Period.2020.03;Period.2020.04;Period.2020.05;Period.2020.06;Period.2020.07;Period.2020.08;Period.NA.20
Dom Literatury Pokoje Goúcinne;499690;3474862;Warszawa;00-079;ul. Krakowskie Przedmieúcie 87/89;WojewÛdztwo mazowieckie, Polska;Hotel;Hotels;55.1;52,24708;21,012834;245;3;8,2;178;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Hotel Indigo Warsaw - Nowy Swiat;697897;18467877;Warszawa;00-375;ul. Smolna 40;WojewÛdztwo mazowieckie, Polska;Hotel;Hotels;55.1;52,232485;21,021401;487;4;9,6;146;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Mercure Warszawa Centrum;128862;19266;Warszawa;00-120;ul. Z≥ota 48/54;WojewÛdztwo mazowieckie, Polska;Hotel;Hotels;55.1;52,23091;21,00139;359,99;4;9;981;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Chill Apartments Bliska Wola;939100160;29315630;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,22698;20,95528;219;3,5;6,6;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0
Hotel Belwederski;359594;3145293;Warszawa;00-594;ul. Belwederska 44 C;WojewÛdztwo mazowieckie, Polska;Hotel;Hotels;55.1;52,210243;21,028451;217,01;3;8,2;61;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0
Good Night;1735410048;54200314;Warszawa;02-174;Saba≥y 55;WojewÛdztwo mazowieckie, Polska;Hostel;Boarding houses;55.2;52,18598;20,956659;79,35;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0
Chopin Apartments City;512545;10646412;Warszawa;01-210;ul. Kolejowa 45-47;WojewÛdztwo mazowieckie, Polska;Hotel;Hotels;55.1;52,226085;20,982615;230;4;8,8;42;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Platinum Residence ;345574;3566760;Warszawa;00-844;ul. Grzybowska 61B;WojewÛdztwo mazowieckie, Polska;Apart-hotel;Hotels;55.1;52,233345;20,987593;225;4;8;352;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
a&o Warsaw Wola;1064057504;33220547;Warszawa;05-077;Kasprzaka 18-20;WojewÛdztwo mazowieckie, Polska;Hotel;Hotels;55.1;52,229332;20,972672;34,89;3;7,8;8,5;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
Patra;1091713824;34084807;Warszawa;02-801;Pu≥awska 411;WojewÛdztwo mazowieckie, Polska;Guest House;Rooms for guest;55.2;52,1451;21,0185;197,99;3;7,4;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
