hotelName;offerId;hotelId;locality;postalCode;street;destinationName;accType;accType_Stat;NACE;lat;lon;price;starRating;guestReviewsRating;guestReviewsTotal;Period.2019.02;Period.2019.03;Period.2019.04;Period.2019.05;Period.2019.06;Period.2019.07;Period.2019.08;Period.2019.09;Period.2019.10;Period.2019.11;Period.2019.12;Period.2020.01;Period.2020.02;Period.2020.03;Period.2020.04;Period.2020.05;Period.2020.06;Period.2020.07;Period.2020.08;Period.NA.20
Metro Sopockie Apartamenty;1137048416;35501513;Sopot;undefined;;WojewÛdztwo pomorskie, Polska;Apartment;Hotels;55.2;54,433532;18,571723;243;3,5;;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0
Apartament Bia≥ystok - Grochowa 4;1229959904;38404997;Bia≥ystok;undefined;;Podlaskie WojewÛdztwo, Polska;Apartment;Hotels;55.2;53,132054;23,151351;169;3,5;;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0
Palac Sulislaw Hotel & Spa;419595;5432185;GrodkÛw;49-200;Sulis≥aw 24;WojewÛdztwo opolskie, Polska;Hotel;Hotels;55.1;50,692886;17,305436;470;5;8;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0
P&O Apartments Bugaj;1114241248;34788789;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,251315;21,012722;281;3;;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
P&O Apartments K≥opot;730418368;22794324;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apart-hotel;Hotels;55.1;52,257616;20,979018;265,5;3;8;0;1;1;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
Anton Apartments Nowogrodzka;1204188448;37599639;Warszawa;00-695;Nowogrodzka 44;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,228295;21,00927;225;3;4,6;4;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0
Friends Avenue Apartment;1419824768;44338274;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,221333;21,022522;195;3;;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0
River Boulevard Loft;1546106272;48284571;KrakÛw;undefined;;WojewÛdztwo ma≥opolskie, Polska;Apartment;Hotels;55.2;50,050542;19,92226;169;3,5;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Hotel Diament Spodek Katowice;401678;4896045;Katowice;40-005;al. Korfantego 35;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,266333;19,024152;194,91;3;8,2;28;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Apartment Royal I;1116557792;34861181;Bia≥ystok;undefined;;Podlaskie WojewÛdztwo, Polska;Apartment;Hotels;55.2;53,135047;23,155066;189;3,5;;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Apartment Royal III;1116564896;34861403;Bia≥ystok;undefined;;Podlaskie WojewÛdztwo, Polska;Apartment;Hotels;55.2;53,135047;23,155066;189;3,5;;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Apartment Royal VIII;1148271072;35852221;Bia≥ystok;undefined;;Podlaskie WojewÛdztwo, Polska;Apartment;Hotels;55.2;53,135518;23,14923;179;3,5;;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Apartment Royal IV;1116576864;34861777;Bia≥ystok;undefined;;Podlaskie WojewÛdztwo, Polska;Apartment;Hotels;55.2;53,132449;23,151251;189;3,5;;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Apartament Royal VI;1148256256;35851758;Bia≥ystok;undefined;;Podlaskie WojewÛdztwo, Polska;Apartment;Hotels;55.2;53,134929;23,155439;189;3,5;;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Apartment Royal IX;1148327072;35853971;Bia≥ystok;undefined;;Podlaskie WojewÛdztwo, Polska;Apartment;Hotels;55.2;53,136207;23,146577;149;3,5;;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Apartment Royal;1116549152;34860911;Bia≥ystok;undefined;;Podlaskie WojewÛdztwo, Polska;Apartment;Hotels;55.2;53,112888;23,146276;189;3,5;;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Apartment Royal VII;1148264480;35852015;Bia≥ystok;undefined;;Podlaskie WojewÛdztwo, Polska;Apartment;Hotels;55.2;53,138631;23,161016;189;3,5;;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Apartamenty Bialystok - Malmeda 8;1197054432;37376701;Bia≥ystok;undefined;;Podlaskie WojewÛdztwo, Polska;Apartment;Hotels;55.2;53,134229;23,158651;149;3;;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Apartamenty Bia≥ystok - Orzeszkowej 36;1196732320;37366635;Bia≥ystok;undefined;;Podlaskie WojewÛdztwo, Polska;Apartment;Hotels;55.2;53,12796;23,178661;149;3;2;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Apartment Royal V;1116584352;34862011;Bia≥ystok;undefined;;Podlaskie WojewÛdztwo, Polska;Apartment;Hotels;55.2;53,137522;23,143051;189;3,5;10;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Apartamenty Bia≥ystok - Sk≥odowskiej 6;1168807296;36493978;Bia≥ystok;undefined;;Podlaskie WojewÛdztwo, Polska;Apartment;Hotels;55.2;53,1291;23,157432;159;3,5;4;0;0;0;0;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0
Apartamenty Bialystok -  Bema 89 A;1074004832;33531401;Bia≥ystok;15-370;ul. Bema 89 A/106;Podlaskie WojewÛdztwo, Polska;Apartment;Hotels;55.2;53,1218;23,1417;149;3;;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0
Apartment Royal II;1116561024;34861282;Bia≥ystok;undefined;;Podlaskie WojewÛdztwo, Polska;Apartment;Hotels;55.2;53,135047;23,155066;189;3,5;8;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Apartamenty Lipowa 12 m 19;1073973248;33530414;Bia≥ystok;15-424;Lipowa 12/19;Podlaskie WojewÛdztwo, Polska;Apartment;Hotels;55.2;53,1332;23,1547;148;3;;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Apartamenty City;708726016;22116438;Bia≥ystok;15-875;Artyleryjska 8;Podlaskie WojewÛdztwo, Polska;Apartment;Hotels;55.2;53,138084;23,146929;138,99;3,5;8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Apartamenty Botaniczna 9A m 21;1074009792;33531556;Bia≥ystok;15-874;ul. Botaniczna 9 A/21;Podlaskie WojewÛdztwo, Polska;Apartment;Hotels;55.2;53,1367;23,1444;148;3;;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Apartamenty Bia≥ystok Parkowa 2A;1168817376;36494293;Bia≥ystok;undefined;;Podlaskie WojewÛdztwo, Polska;Apartment;Hotels;55.2;53,125148;23,170626;148;3,5;10;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Apartament Royal X;1148332096;35854128;Bia≥ystok;undefined;;Podlaskie WojewÛdztwo, Polska;Apartment;Hotels;55.2;53,133906;23,148375;189;3,5;8;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Willa Marcella;708598528;22112454;Bia≥ystok;15-247;Zwierzyniecka 64;Podlaskie WojewÛdztwo, Polska;Pension;Boarding houses;55.1;53,116417;23,172421;72,36;3;7,4;7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Willa Marcella Deluxe;708726304;22116447;Bia≥ystok;15-711;Konduktorska 22;Podlaskie WojewÛdztwo, Polska;Villa;Other hotel facilities;55.1;53,13369;23,122639;95;3;8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Chlodna 15 Apartment;1419883904;44340122;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,237132;20,990258;240;3;;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0
Violet Triton Apartment;1345025568;42000799;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,200413;20,966513;149,8;3;4;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0
Modern Apartment;1345027968;42000874;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,252348;20,998716;162,18;3;10;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0
Villa Park Weso≥a;554450;12628497;Warszawa;05-077;ul. 1 Praskiego Pu≥ku 89;WojewÛdztwo mazowieckie, Polska;Hotel;Hotels;55.1;52,23236;21,224323;230;3,5;6,8;8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Horizon Apartments - Kordeckiego;1352756448;42242389;KrakÛw;undefined;;WojewÛdztwo ma≥opolskie, Polska;Apart-hotel;Hotels;55.1;50,049347;19,937668;500;3;;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0
InPoint PodgÛrze Apartments ;1361187424;42505857;KrakÛw;undefined;;WojewÛdztwo ma≥opolskie, Polska;Apartment;Hotels;55.2;50,039395;19,946682;212,81;3,5;;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0
Apartament Grzybowska by City Quality;657774208;20524194;Warszawa;00-131;Grzybowska 2 lub 3;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,23732;21,002886;399;3;7,6;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
P&O Apartments Grzybowska 3;1037956000;32404875;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,237214;20,999148;359,1;3,5;7,4;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;0;0;0;0;0;0
M&R Apartament Airport Konstruktorska 7;959875456;29964858;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,18529;20,99376;300;3,5;10;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0
P&O Apartments Podwale 2;925793504;28899797;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,25046;21,00961;353,71;3,5;;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Apartament Srodmiescie by City Quality;656579712;20486866;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,22742;21,01262;299;3;8;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
P&O Apartments Grodkowska;1037951520;32404735;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,242189;20,923916;400,5;3,5;;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Apartament Marszalkowska by City Quality;656581408;20486919;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,23607;21,00859;299;3,5;9;8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Royal Route 29 Comfort Rooms;639530;16433335;KrakÛw;31-019;ul. FloriaÒska 29;WojewÛdztwo ma≥opolskie, Polska;Apartment;Hotels;55.2;50,06334;19,94031;157,5;3,5;8,8;89;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Pergamin Royal Apartments;545895;12226116;KrakÛw;31-006;ul. Grodzka 12;WojewÛdztwo ma≥opolskie, Polska;Hotel;Hotels;55.1;50,059692;19,937798;177,48;3;8,2;287;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Aparthotel Pergamin;362932;3959987;KrakÛw;31-146;ul. D≥uga 26;WojewÛdztwo ma≥opolskie, Polska;Hotel;Hotels;55.1;50,068142;19,938473;168,3;3;8,2;225;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Pa≥ac w Ma≥kowie;1145258784;35758087;Warta;98-290;Ma≥kÛw 97;WojewÛdztwo ≥Ûdzkie, Polska;Hotel;Hotels;55.1;51,693;18,6343;230;3;;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0
Apartamenty Sun & Snow LegionÛw;1358477632;42421176;Gdynia;81-472;LegionÛw 119C;WojewÛdztwo pomorskie, Polska;Apartment;Hotels;55.2;54,492973;18,542312;123;3,5;;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0
Apartamenty Sun&Snow Helska Villa;1566347424;48917107;Hel;undefined;;WojewÛdztwo pomorskie, Polska;Apartment;Hotels;55.2;54,60493;18,807515;146;3,5;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Happy Stay Old Town CaminoArte 364;1196167456;37348983;GdaÒsk;undefined;;WojewÛdztwo pomorskie, Polska;Apartment;Hotels;55.2;54,354593;18,655849;318;3,5;10;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
Pensjonat Borek;945303424;29509482;gmina Medyka;37-732;Medyka 464;Podkarpackie WojewÛdztwo, Polska;Guest House;Rooms for guest;55.2;49,805618;22,90881;99;3;10;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Airport Residence Amber;1264441888;39482559;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,170818;20,995851;190;3;;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0
Panska Rondo Daszynskiego Apartment;1365266528;42633329;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,230823;20,989057;343,005;3;;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0
Powisle 2 - Bedroom Apartment;1277798176;39899943;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,237829;21,027858;421,505;3;;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0
Airport Residence Orange;1264421344;39481917;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,163186;20,992758;161,5;3;10;2;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0
Airport Residence Blue;1264430592;39482206;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,16272;20,994308;153;3;8;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0
MOSS Rondo Wiatraczna Shopping Centre;1455970624;45467832;Warszawa;00-001;Grochowska 207;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,244119;21,086506;216;3;;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
Prudentia Apartments Gersona;1543428096;48200878;Warszawa;03-307;Wojciecha Gersona 10;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,27811;21,013917;165;2,5;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
CVO INN Cracow Old Town ;1124461536;35108173;KrakÛw;31-510;Rakowicka 22h;WojewÛdztwo ma≥opolskie, Polska;Apartment;Hotels;55.2;50,0719;19,953;324;3,5;8;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0
InPoint Tauron Arena Apartment;1361197216;42506163;KrakÛw;31-566;Bajeczna 4 A;WojewÛdztwo ma≥opolskie, Polska;Hotel;Hotels;55.1;50,056701;19,976433;292;3;8;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0
Boutique Hotel's Sosnowiec;453598;7825238;Sosnowiec;41-200;ul. PartyzantÛw 11;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,270211;19,141873;138,95;3;8,2;17;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Art Hotel's Sosnowiec;648220;16808489;Sosnowiec;41-200;ul. PartyzantÛw 11;WojewÛdztwo úlπskie, Polska;Hotel;Hotels;55.1;50,270271;19,14164;171,555;3,5;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Old Town Rooftop by Downtown Apartments;1246890272;38934071;GdaÒsk;undefined;;WojewÛdztwo pomorskie, Polska;Apartment;Hotels;55.2;54,350923;18,656421;410;3,5;;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Primavera JastrzÍbia GÛra;937709440;29272170;Jastrzebia Gora;84-104;Rozewska 40;WojewÛdztwo pomorskie, Polska;Resort;Other hotel facilities;55.1;54,83198;18,32122;256,5;3;10;2;0;1;0;1;0;0;0;1;1;1;1;0;1;1;0;0;0;0;0;0
P&O Apartments Bagetela;1028854112;32120441;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,213477;21,02244;353,71;3,5;;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Eclectic Queen Loft;1241477024;38764907;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,20928;21,018977;771;3,5;;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Airport Residence Gold 24h/fv;1192571392;37236606;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,162966;20,996202;199,5;3;;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0
Hotel 77 Restauracja Spa;563507;6851785;W≥adys≥awowo;84-120;ul. Kaperska 77;WojewÛdztwo pomorskie, Polska;Hotel;Hotels;55.1;54,757203;18,516219;250;3;10;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1;0;0;0;0;0;0
Na Wydmach;636388;16399643;Hel;84-150;Wydmowa 1;WojewÛdztwo pomorskie, Polska;Guest House;Rooms for guest;55.2;54,61525;18,803128;55;3;8,8;12;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0
Hotel Chopin;355341;3814767;Pruszcz GdaÒski;83-000;Chopina 28;WojewÛdztwo pomorskie, Polska;Hotel;Hotels;55.1;54,261558;18,640891;180;3;7,8;15;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Villa Rustica;676720480;21116265;Solina;38-610;Zdrojowa 17/1;Podkarpackie WojewÛdztwo, Polska;Hotel;Hotels;55.1;49,37176;22,429527;330;4;9,6;4;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0
Apartament balkon-Aleje Jerozolimskie 29;1434625888;44800809;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,2301;21,01445;232,75;3;;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
Airport Residence Red;1264415392;39481731;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,163202;20,992865;161,5;3;10;1;0;0;0;0;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0
Prudentia Apartments Targowa Moscicki;1482242592;46288831;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,25342;21,035568;180;3;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Krucza Central Warsaw Apartment;1104071424;34470982;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,2293;21,0168;353,01;3,5;;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0
Mennica Residence Chic Apartment;1064145024;33223282;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,234612;20,991865;362;3,5;;0;1;1;1;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0
West Station Business Apartment;1254739360;39179355;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,222213;20,957375;383;3;;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0
Warszawa Centrum Elegant Apartment;1155275584;36071112;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,2269;21,0019;360;3,5;8;3;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0
Varsovia Comfort;1248414624;38981707;Warszawa;00-133;Kasprzaka 31/932;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,227218;20,954505;299,56;3,5;;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Old Town Market Place Penthouse;1262259648;39414364;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,25087;21,011526;446;3,5;;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
City Comfort Aparthotel;690197888;21537434;Warszawa;01-258;Wolska 165;WojewÛdztwo mazowieckie, Polska;Hotel;Hotels;55.1;52,22577;20,94353;147,65;3,5;7,8;44,5;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Klimatyczne Studio Metro Slodowiec;1283125408;40066419;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,277917;20,960114;340;3;;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0
Lubomira Chic Apartment;1425248192;44507756;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,244917;21,076831;275;3;;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
Metro Plac Wilsona Apartment;1240645792;38738931;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,270026;20,989437;471,5;3;;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;0
Warsaw Spire Metro Apartment;1233464512;38514516;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,228745;20,975104;351;3,5;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Metro Wilanowska 3-Bedroom Apartment;1417578624;44268082;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,185103;21,018966;517;3;;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0
By the River Stylish Apartment;1226159008;38286219;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,235899;21,034847;348;3;;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Nowa Praga Warszawa Apartment;1452541312;45360666;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,261141;21,038971;289;3;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Rozlogi Sunny Apartment;1544760576;48242518;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,226963;20,900788;375;3,5;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Adele Old Town Apartment;1453734144;45397942;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,250455;21,0096;380;3;10;0;1;1;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
Jerozolimskie Central View Apartment;1417555328;44267354;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,230625;21,014122;379;3;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0
Plac Wilsona Art Deco Apartment;1207392000;37699750;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,268848;20,983939;351;3,5;;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0
Brand New Studio Old Town 10min Ntflx;1461737856;45648058;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,240829;21,000237;347;3;;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
Chlodna Silver Apartment;1417523392;44266356;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,237667;20,991861;282,5;3,5;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Wola Chic Brown Studio;1544774720;48242960;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,225087;20,957236;282;3;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Solec Studio Center River;1364714496;42616078;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,229538;21,037419;329;3,5;;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0
Old Praga Cosy Studio;1425218528;44506829;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,251892;21,04511;262,005;3,5;;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
Lubomira Elegant Studio;1425230464;44507202;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,244917;21,076831;255;3,5;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Varsovia Comfort 223;1472791680;45993490;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,227615;20,955698;233;3,5;;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
Powisle Superior Apartment;1569663392;49020731;Warszawa;undefined;;WojewÛdztwo mazowieckie, Polska;Apartment;Hotels;55.2;52,237829;21,027858;505;3,5;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Garden Park Hotel;671783;17674392;Wieliczka;32-020;ul. Dembowskiego 60A;WojewÛdztwo ma≥opolskie, Polska;Hotel;Hotels;55.1;49,99045;20,04681;142,875;3;7,8;30;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Oldsmobil-Aparts;1149426656;35888333;KrakÛw;33-332;åwiÍtego Tomasza 31;WojewÛdztwo ma≥opolskie, Polska;Apartment;Hotels;55.2;50,06211;19,941965;230,61;3;9;2;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Zacisze Apartments by Habitan;697507;18536649;KrakÛw;31-156;Zacisze 4;WojewÛdztwo ma≥opolskie, Polska;Apartment;Hotels;55.2;50,06596;19,94296;320;3,5;9,2;165;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Bubble Apartment by Loft Affair ;1441239200;45007475;KrakÛw;undefined;;WojewÛdztwo ma≥opolskie, Polska;Apartment;Hotels;55.2;50,039395;19,946682;234,18;3,5;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
